Time: 00:54:11 | Score: 40 | WARNING
Time: 21:18:50 | Score: 30 | WARNING
Time: 21:18:50 | Score: 30 | WARNING
Time: 21:18:50 | Score: 30 | WARNING
Time: 21:18:50 | Score: 30 | WARNING
Time: 21:18:50 | Score: 30 | WARNING
Time: 21:18:53 | Score: 30 | WARNING
Time: 21:18:53 | Score: 30 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:19:07 | Score: 40 | WARNING
Time: 21:21:00 | Score: 30 | WARNING
Time: 21:21:00 | Score: 30 | WARNING
Time: 21:21:05 | Score: 40 | WARNING
Time: 21:21:05 | Score: 40 | WARNING
Time: 21:21:05 | Score: 40 | WARNING
Time: 21:21:05 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:06 | Score: 40 | WARNING
Time: 21:21:09 | Score: 40 | WARNING
Time: 21:21:09 | Score: 40 | WARNING
Time: 21:21:09 | Score: 40 | WARNING
Time: 21:21:09 | Score: 40 | WARNING
Time: 21:21:09 | Score: 40 | WARNING
Time: 21:21:10 | Score: 40 | WARNING
Time: 21:21:10 | Score: 40 | WARNING
Time: 21:21:10 | Score: 40 | WARNING
Time: 21:21:10 | Score: 40 | WARNING
Time: 21:21:14 | Score: 30 | WARNING
Time: 21:21:14 | Score: 30 | WARNING
Time: 21:21:14 | Score: 30 | WARNING
Time: 21:21:14 | Score: 30 | WARNING
Time: 21:21:14 | Score: 30 | WARNING
Time: 21:21:15 | Score: 30 | WARNING
Time: 21:21:15 | Score: 30 | WARNING
Time: 21:21:15 | Score: 30 | WARNING
Time: 21:21:15 | Score: 30 | WARNING
Time: 21:21:15 | Score: 30 | WARNING
Time: 21:21:16 | Score: 30 | WARNING
Time: 21:21:16 | Score: 30 | WARNING
Time: 21:21:16 | Score: 30 | WARNING
Time: 21:21:16 | Score: 30 | WARNING
Time: 21:21:16 | Score: 30 | WARNING
Time: 21:21:16 | Score: 30 | WARNING
Time: 21:21:17 | Score: 30 | WARNING
Time: 21:21:17 | Score: 30 | WARNING
Time: 21:21:17 | Score: 30 | WARNING
Time: 21:21:35 | Score: 30 | WARNING
Time: 21:21:35 | Score: 30 | WARNING
Time: 21:21:35 | Score: 30 | WARNING
Time: 21:21:38 | Score: 30 | WARNING
Time: 21:21:38 | Score: 30 | WARNING
Time: 21:21:38 | Score: 30 | WARNING
Time: 21:21:38 | Score: 30 | WARNING
Time: 21:21:39 | Score: 30 | WARNING
Time: 21:21:39 | Score: 30 | WARNING
Time: 21:21:41 | Score: 30 | WARNING
Time: 21:21:41 | Score: 30 | WARNING
Time: 21:21:41 | Score: 30 | WARNING
Time: 21:21:41 | Score: 30 | WARNING
Time: 21:21:42 | Score: 30 | WARNING
Time: 21:21:42 | Score: 30 | WARNING
Time: 21:21:42 | Score: 30 | WARNING
Time: 21:21:42 | Score: 30 | WARNING
Time: 21:21:44 | Score: 40 | WARNING
Time: 21:21:44 | Score: 40 | WARNING
Time: 21:21:44 | Score: 40 | WARNING
Time: 21:21:44 | Score: 40 | WARNING
Time: 21:21:45 | Score: 40 | WARNING
Time: 21:21:45 | Score: 40 | WARNING
Time: 21:21:45 | Score: 40 | WARNING
Time: 21:21:45 | Score: 40 | WARNING
Time: 21:21:45 | Score: 40 | WARNING
Time: 21:21:45 | Score: 40 | WARNING
Time: 21:21:45 | Score: 40 | WARNING
Time: 21:21:49 | Score: 30 | WARNING
Time: 21:21:49 | Score: 30 | WARNING
Time: 21:21:49 | Score: 30 | WARNING
Time: 21:21:49 | Score: 30 | WARNING
Time: 21:21:49 | Score: 30 | WARNING
Time: 21:21:49 | Score: 30 | WARNING
Time: 21:21:49 | Score: 70 | CRITICAL ALERT
Time: 21:21:49 | Score: 70 | CRITICAL ALERT
Time: 21:21:52 | Score: 30 | WARNING
Time: 21:21:52 | Score: 30 | WARNING
Time: 21:21:52 | Score: 30 | WARNING
Time: 21:21:52 | Score: 30 | WARNING
Time: 21:21:53 | Score: 30 | WARNING
Time: 21:21:53 | Score: 30 | WARNING
Time: 21:21:53 | Score: 30 | WARNING
Time: 21:21:53 | Score: 30 | WARNING
Time: 21:21:55 | Score: 40 | WARNING
Time: 21:21:55 | Score: 40 | WARNING
Time: 21:21:55 | Score: 40 | WARNING
Time: 21:21:55 | Score: 70 | CRITICAL ALERT
Time: 21:21:55 | Score: 70 | CRITICAL ALERT
Time: 21:21:55 | Score: 70 | CRITICAL ALERT
Time: 21:21:55 | Score: 70 | CRITICAL ALERT
Time: 21:21:55 | Score: 70 | CRITICAL ALERT
Time: 21:21:56 | Score: 70 | CRITICAL ALERT
Time: 21:21:56 | Score: 70 | CRITICAL ALERT
Time: 21:21:56 | Score: 70 | CRITICAL ALERT
Time: 21:21:56 | Score: 70 | CRITICAL ALERT
Time: 21:21:56 | Score: 70 | CRITICAL ALERT
Time: 21:21:56 | Score: 70 | CRITICAL ALERT
Time: 21:21:56 | Score: 40 | WARNING
Time: 21:21:56 | Score: 40 | WARNING
Time: 21:21:56 | Score: 40 | WARNING
Time: 21:21:57 | Score: 40 | WARNING
Time: 21:21:57 | Score: 40 | WARNING
Time: 21:21:57 | Score: 40 | WARNING
Time: 21:21:57 | Score: 40 | WARNING
Time: 21:21:57 | Score: 40 | WARNING
Time: 21:21:57 | Score: 40 | WARNING
Time: 21:21:57 | Score: 40 | WARNING
Time: 21:22:06 | Score: 30 | WARNING
Time: 21:22:06 | Score: 30 | WARNING
Time: 21:22:07 | Score: 30 | WARNING
Time: 21:22:07 | Score: 30 | WARNING
Time: 21:22:07 | Score: 30 | WARNING
Time: 21:22:07 | Score: 30 | WARNING
Time: 21:22:07 | Score: 30 | WARNING
Time: 21:22:09 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:10 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:11 | Score: 40 | WARNING
Time: 21:22:12 | Score: 40 | WARNING
Time: 21:22:12 | Score: 40 | WARNING
Time: 21:22:12 | Score: 40 | WARNING
Time: 21:22:12 | Score: 70 | CRITICAL ALERT
Time: 21:22:12 | Score: 70 | CRITICAL ALERT
Time: 21:22:12 | Score: 70 | CRITICAL ALERT
Time: 21:22:12 | Score: 70 | CRITICAL ALERT
Time: 21:22:12 | Score: 70 | CRITICAL ALERT
Time: 21:22:12 | Score: 70 | CRITICAL ALERT
Time: 21:22:12 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:13 | Score: 70 | CRITICAL ALERT
Time: 21:22:14 | Score: 40 | WARNING
Time: 21:22:14 | Score: 40 | WARNING
Time: 21:22:14 | Score: 40 | WARNING
Time: 21:22:14 | Score: 40 | WARNING
Time: 21:22:14 | Score: 40 | WARNING
Time: 21:22:14 | Score: 40 | WARNING
Time: 21:22:14 | Score: 40 | WARNING
Time: 21:22:14 | Score: 40 | WARNING
Time: 21:22:14 | Score: 40 | WARNING
Time: 22:46:12 | Score: 40 | WARNING
Time: 22:46:12 | Score: 40 | WARNING
Time: 22:46:12 | Score: 40 | WARNING
Time: 22:46:12 | Score: 40 | WARNING
Time: 22:46:12 | Score: 40 | WARNING
Time: 22:46:12 | Score: 40 | WARNING
Time: 22:46:13 | Score: 40 | WARNING
Time: 22:46:13 | Score: 40 | WARNING
Time: 22:46:13 | Score: 40 | WARNING
Time: 22:46:13 | Score: 40 | WARNING
Time: 22:46:13 | Score: 40 | WARNING
Time: 22:46:13 | Score: 40 | WARNING
Time: 22:46:21 | Score: 40 | WARNING
Time: 22:46:21 | Score: 40 | WARNING
Time: 22:46:21 | Score: 40 | WARNING
Time: 22:46:21 | Score: 40 | WARNING
Time: 22:46:21 | Score: 40 | WARNING
Time: 22:46:22 | Score: 40 | WARNING
Time: 22:46:22 | Score: 40 | WARNING
Time: 22:46:22 | Score: 40 | WARNING
Time: 22:46:22 | Score: 40 | WARNING
Time: 22:46:22 | Score: 40 | WARNING
Time: 22:46:22 | Score: 40 | WARNING
Time: 22:46:22 | Score: 40 | WARNING
Time: 22:46:31 | Score: 40 | WARNING
Time: 22:46:31 | Score: 40 | WARNING
Time: 22:46:31 | Score: 40 | WARNING
Time: 22:46:31 | Score: 40 | WARNING
Time: 22:46:31 | Score: 40 | WARNING
Time: 22:46:31 | Score: 40 | WARNING
Time: 22:46:32 | Score: 40 | WARNING
Time: 22:46:32 | Score: 40 | WARNING
Time: 22:46:32 | Score: 40 | WARNING
Time: 22:46:54 | Score: 30 | WARNING
Time: 22:46:54 | Score: 30 | WARNING
Time: 22:46:54 | Score: 30 | WARNING
Time: 22:46:54 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:55 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:56 | Score: 30 | WARNING
Time: 22:46:57 | Score: 30 | WARNING
Time: 22:46:57 | Score: 30 | WARNING
Time: 22:46:57 | Score: 30 | WARNING
Time: 22:46:57 | Score: 30 | WARNING
Time: 22:46:57 | Score: 30 | WARNING
Time: 22:46:57 | Score: 30 | WARNING
Time: 22:46:58 | Score: 40 | WARNING
Time: 22:46:58 | Score: 40 | WARNING
Time: 22:46:58 | Score: 40 | WARNING
Time: 22:46:58 | Score: 40 | WARNING
Time: 22:46:58 | Score: 40 | WARNING
Time: 22:46:58 | Score: 40 | WARNING
Time: 22:46:58 | Score: 40 | WARNING
Time: 22:46:58 | Score: 40 | WARNING
Time: 22:46:58 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:46:59 | Score: 70 | CRITICAL ALERT
Time: 22:47:00 | Score: 70 | CRITICAL ALERT
Time: 22:47:00 | Score: 70 | CRITICAL ALERT
Time: 22:47:00 | Score: 40 | WARNING
Time: 22:47:00 | Score: 40 | WARNING
Time: 22:47:00 | Score: 40 | WARNING
Time: 22:47:00 | Score: 40 | WARNING
Time: 22:47:00 | Score: 40 | WARNING
Time: 22:47:00 | Score: 40 | WARNING
Time: 22:47:00 | Score: 40 | WARNING
Time: 22:47:00 | Score: 40 | WARNING
Time: 22:47:01 | Score: 40 | WARNING
Time: 22:47:01 | Score: 40 | WARNING
Time: 22:47:01 | Score: 40 | WARNING
Time: 22:47:01 | Score: 70 | CRITICAL ALERT
Time: 22:47:01 | Score: 40 | WARNING
Time: 22:47:01 | Score: 40 | WARNING
Time: 22:47:01 | Score: 40 | WARNING
Time: 22:47:01 | Score: 40 | WARNING
Time: 22:47:01 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:02 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:03 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:04 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:05 | Score: 40 | WARNING
Time: 22:47:06 | Score: 40 | WARNING
Time: 22:47:06 | Score: 40 | WARNING
Time: 22:47:06 | Score: 40 | WARNING
Time: 22:47:06 | Score: 70 | CRITICAL ALERT
Time: 22:47:06 | Score: 70 | CRITICAL ALERT
Time: 22:47:06 | Score: 70 | CRITICAL ALERT
Time: 22:47:06 | Score: 70 | CRITICAL ALERT
Time: 22:47:06 | Score: 70 | CRITICAL ALERT
Time: 22:47:06 | Score: 70 | CRITICAL ALERT
Time: 22:47:06 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:07 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:08 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:09 | Score: 70 | CRITICAL ALERT
Time: 22:47:10 | Score: 70 | CRITICAL ALERT
Time: 22:47:10 | Score: 70 | CRITICAL ALERT
Time: 22:47:10 | Score: 70 | CRITICAL ALERT
Time: 22:47:10 | Score: 70 | CRITICAL ALERT
Time: 22:47:10 | Score: 70 | CRITICAL ALERT
Time: 22:47:10 | Score: 70 | CRITICAL ALERT
Time: 22:47:10 | Score: 40 | WARNING
Time: 22:47:10 | Score: 40 | WARNING
Time: 22:47:10 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:42 | Score: 40 | WARNING
Time: 22:47:43 | Score: 40 | WARNING
Time: 22:47:43 | Score: 40 | WARNING
Time: 22:47:43 | Score: 40 | WARNING
Time: 22:47:45 | Score: 40 | WARNING
Time: 22:47:45 | Score: 40 | WARNING
Time: 22:47:46 | Score: 40 | WARNING
Time: 22:47:46 | Score: 40 | WARNING
Time: 22:47:46 | Score: 40 | WARNING
Time: 22:47:46 | Score: 40 | WARNING
Time: 22:47:46 | Score: 40 | WARNING
Time: 22:47:46 | Score: 40 | WARNING
Time: 22:47:46 | Score: 40 | WARNING
Time: 22:47:49 | Score: 30 | WARNING
Time: 22:47:49 | Score: 30 | WARNING
Time: 22:47:49 | Score: 30 | WARNING
Time: 22:47:49 | Score: 30 | WARNING
Time: 22:47:51 | Score: 30 | WARNING
Time: 22:47:51 | Score: 30 | WARNING
Time: 22:47:51 | Score: 30 | WARNING
Time: 22:47:51 | Score: 30 | WARNING
Time: 22:47:51 | Score: 30 | WARNING
Time: 22:47:51 | Score: 30 | WARNING
Time: 22:47:51 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:52 | Score: 30 | WARNING
Time: 22:47:53 | Score: 30 | WARNING
Time: 22:47:53 | Score: 30 | WARNING
Time: 22:47:53 | Score: 30 | WARNING
Time: 22:47:53 | Score: 30 | WARNING
Time: 22:47:53 | Score: 30 | WARNING
Time: 22:47:54 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:55 | Score: 40 | WARNING
Time: 22:47:56 | Score: 40 | WARNING
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:56 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:57 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:58 | Score: 70 | CRITICAL ALERT
Time: 22:47:59 | Score: 70 | CRITICAL ALERT
Time: 22:47:59 | Score: 70 | CRITICAL ALERT
Time: 22:47:59 | Score: 70 | CRITICAL ALERT
Time: 22:47:59 | Score: 70 | CRITICAL ALERT
Time: 22:47:59 | Score: 40 | WARNING
Time: 22:47:59 | Score: 40 | WARNING
Time: 22:47:59 | Score: 40 | WARNING
Time: 22:47:59 | Score: 40 | WARNING
Time: 22:47:59 | Score: 70 | CRITICAL ALERT
Time: 22:47:59 | Score: 70 | CRITICAL ALERT
Time: 22:48:00 | Score: 70 | CRITICAL ALERT
Time: 22:48:00 | Score: 70 | CRITICAL ALERT
Time: 22:48:00 | Score: 70 | CRITICAL ALERT
Time: 22:48:00 | Score: 40 | WARNING
Time: 22:48:00 | Score: 70 | CRITICAL ALERT
Time: 22:48:00 | Score: 100 | CRITICAL ALERT
Time: 22:48:00 | Score: 70 | CRITICAL ALERT
Time: 22:48:00 | Score: 70 | CRITICAL ALERT
Time: 22:48:00 | Score: 100 | CRITICAL ALERT
Time: 22:48:00 | Score: 100 | CRITICAL ALERT
Time: 22:48:01 | Score: 100 | CRITICAL ALERT
Time: 22:48:01 | Score: 100 | CRITICAL ALERT
